Age,BodyweightKg,Place,Dots,Wilks,Glossbrenner,Goodlift,bestSquat/bodyWeight,bestBench/bodyWeight,bestDeadlift/bodyWeight,totalKg/bodyWeight
23.0,79.9,1,303.62,300.62,289.68,62.1,1.63,1.5,2.38,5.51
46.0,105.3,1,417.17,413.39,394.76,85.39,2.37,1.73,2.47,6.58
18.0,96.0,1,335.35,331.23,316.67,68.92,2.08,1.2,2.29,5.57
26.0,73.2,1,397.2,395.08,382.14,80.46,2.66,1.78,3.01,7.45
29.0,81.3,1,305.68,302.46,291.22,62.6,2.09,1.32,2.09,5.5
27.0,88.2,1,488.35,482.23,462.58,100.37,3.54,2.04,2.89,8.48
39.0,87.9,2,417.22,412.01,395.29,85.75,2.79,1.73,2.73,7.25
35.0,106.5,1,442.27,438.55,418.84,90.46,2.68,1.67,2.58,6.92
36.0,105.1,2,428.03,424.12,405.0,87.62,2.47,1.9,2.38,6.76
30.0,111.7,1,385.73,383.7,366.9,78.61,2.06,1.39,2.42,5.86
24.0,79.7,2,336.9,333.61,321.49,68.89,2.07,1.6,2.45,6.12
31.0,89.2,1,358.87,354.33,339.73,73.78,2.3,1.4,2.49,6.19
37.0,96.6,1,459.41,453.82,433.79,94.4,2.95,2.02,2.64,7.61
25.0,78.7,1,389.93,386.33,372.51,79.64,2.54,1.4,3.18,7.12
28.0,71.8,1,295.3,294.09,284.69,59.65,1.95,1.11,2.51,5.57
45.0,89.7,1,297.94,294.16,281.97,61.25,1.56,1.45,2.12,5.13
20.0,108.3,1,430.46,427.27,408.19,87.94,2.7,1.45,2.52,6.67
26.0,65.9,1,400.05,400.95,389.63,79.56,2.58,2.05,3.11,7.74
25.0,67.3,2,359.17,359.38,348.89,71.74,2.38,1.78,2.75,6.91
32.0,73.3,1,418.69,416.42,402.76,84.83,2.46,2.05,3.34,7.84
35.0,81.7,1,458.08,453.17,436.23,93.84,3.0,2.39,2.85,8.23
26.0,109.0,1,429.4,426.39,407.42,87.68,2.22,1.65,2.75,6.63
29.0,80.2,2,450.99,446.47,430.14,92.26,2.99,2.06,3.12,8.17
25.0,87.0,1,486.92,480.91,461.61,100.04,2.76,2.3,3.45,8.51
43.0,88.5,2,365.21,360.62,345.88,75.07,1.98,1.81,2.54,6.33
26.0,85.6,3,345.13,340.98,327.54,70.87,2.16,1.34,2.57,6.07
39.0,97.8,1,416.45,411.5,393.21,85.54,2.66,1.43,2.76,6.85
31.0,99.9,2,381.79,377.48,360.54,78.36,2.2,1.2,2.8,6.21
24.0,91.7,3,387.57,382.64,366.43,79.69,2.29,1.53,2.78,6.6
32.0,94.8,4,332.58,328.43,314.12,68.37,2.0,1.37,2.19,5.56
27.0,108.7,1,510.17,506.51,483.94,104.19,3.22,1.79,2.87,7.89
25.0,106.5,2,349.32,346.38,330.81,71.45,1.97,1.13,2.37,5.47
34.0,102.9,3,263.0,260.33,248.58,53.9,1.26,1.29,1.65,4.2
27.0,116.9,1,562.04,561.22,537.51,114.06,3.21,1.84,3.25,8.3
31.0,138.0,1,416.81,424.22,403.64,83.05,2.07,1.49,1.94,5.49
35.0,134.4,2,410.29,416.16,396.68,82.0,2.08,1.19,2.23,5.51
38.0,125.3,3,373.78,375.92,359.66,75.31,2.08,1.12,2.08,5.27
52.0,78.5,1,251.06,248.77,239.9,51.27,1.53,0.76,2.29,4.59
55.0,78.0,2,161.02,159.6,153.95,32.86,1.03,0.77,1.15,2.95
49.0,90.0,1,323.3,319.2,305.92,66.47,2.11,1.11,2.33,5.56
70.0,72.6,1,219.84,218.78,211.69,44.48,1.1,1.45,1.58,4.13
48.0,103.8,1,366.58,363.0,346.62,75.1,2.12,1.3,2.41,5.83
48.0,98.9,1,349.45,345.4,329.96,71.75,2.07,1.21,2.43,5.71
44.0,105.9,1,342.59,339.6,324.31,70.1,1.98,1.13,2.27,5.38
44.0,78.9,1,413.67,409.81,395.1,84.51,2.53,1.84,3.17,7.54
45.0,140.7,1,238.06,242.9,230.79,47.33,1.07,1.03,1.0,3.09
42.0,98.9,1,315.43,311.77,297.84,64.77,1.82,1.42,1.92,5.16
36.0,128.0,1,393.81,397.05,379.61,79.15,1.88,1.56,2.03,5.47
46.0,115.9,1,441.68,440.69,421.96,89.71,2.5,1.64,2.42,6.56
34.0,59.0,1,205.41,207.88,203.19,39.71,1.53,0.68,1.86,4.07
17.0,67.2,1,247.44,247.61,240.4,49.41,1.49,1.04,2.23,4.76
17.0,57.9,1,310.87,315.17,308.39,59.76,2.12,1.47,2.59,6.17
22.0,86.9,1,342.37,338.15,324.59,70.34,2.13,1.27,2.59,5.98
30.0,85.9,1,294.8,291.23,279.7,60.55,1.75,1.51,1.92,5.18
23.0,80.0,1,429.24,424.98,409.48,87.8,2.94,1.56,3.28,7.78
21.0,101.4,1,385.47,381.32,364.14,79.07,2.27,1.43,2.51,6.21
35.0,90.2,1,364.92,360.29,345.27,75.03,1.88,1.72,2.66,6.26
21.0,90.4,1,420.97,415.62,398.25,86.56,2.49,1.91,2.82,7.22
28.0,106.3,1,384.09,380.81,363.69,78.57,2.26,1.51,2.26,6.02
70.0,106.6,1,218.81,216.98,207.23,44.75,1.13,1.03,1.27,3.42
25.0,109.5,1,519.13,515.66,492.77,105.96,2.74,1.87,3.38,7.99
17.0,91.6,1,237.15,234.14,224.23,48.76,1.31,0.87,1.86,4.04
34.0,60.4,1,243.45,245.84,239.98,47.39,1.99,0.5,2.32,4.8
28.0,108.3,1,394.71,391.79,374.3,80.63,2.22,1.59,2.31,6.12
37.0,111.3,1,400.98,398.76,381.26,81.74,2.25,1.44,2.43,6.11
71.0,101.2,1,231.17,228.67,218.37,39.25,1.09,1.16,1.48,3.73
56.0,83.7,1,124.31,122.88,118.16,25.5,0.72,0.78,0.72,2.21
